yorum,sentiment
..Tüm Dicaprio sevenlerini siteme bekliyorum.,o
.aldığı puanı tam hakediyor.,p
.arkadaş bırak 5 i 250 de yok.,o
.ayrıca sen esaretin bedeli godfather iyi kötü çirkin schindlerin listesiyle mi kıyasladın bu filmi anlayamadım.,o
.batan bir gemiyle birlikte yok olan mutluluk.,o
.Belki nedeni yeni nesilin sinemaya daha çok ilgi göstermesidr.,o
.bır basyapıt gercekten.,p
.bir aşk için kendi cdanını hiçe sayan bir aşığın ve sevdiğinin ölümüyle hayatı boyunca yatağında uyurken ölmeyi bekleyen bir kadının hikayesi.,o
.bir benzeri yok.,p
.çok akıcı eglenceli en sevdiğim olıver stone filmi.,p
.Çok etkilendim,o
.dediğim gibi izleyin.,p
.eve dönerken metroda bile ağlamıştım..:),o
.Evet bu film gerçek bir başyapıt !,p
.filimin gerçek adı u dönüşü.,o
.filmde jack tekrar hayata dönüyor gecmiste olanları öğreniyor vs vs vs iyice suyunu cıkardılar isin.,n
.filmin hepsini dikkatle seyreden izleyici filmin sonunda ne kadr büyük 1 film oldugunu anlar.,p
.fragmanı bile var.,o
.gerçekten çok harika artık replikleri ezberledim ama insan bıkmıyo :),p
.İzlemeyenler arkadaşlara aşırı tavsiyemdir.,p
.izlemeyenlere şiddetle tavsiye ederim.,p
.jean reno ya hasta olmuştum bu filmde.,p
.jennifer bile iyi iş çıkarmış.,p
.kesinlikle cok etkileyici.,o
.kimin hayatında onemli bi yere oturmamışdırki tıtanıc,p
.kurgu harika.,p
.o bir efsane.,p
.O kadar da kötü değil aslında orta düzey bi yapımm,o
.o zman askın ne oldugunu bılmeden bıle baya bır aglamıstım.,o
.okadar hızlıki çoğu zaman yetişmekte zorlanıyorsunuz.,p
.olsun yine de harika!,p
.oyuncular çok iyi ama bu filmde performansının tamamının sergileyememiş.,p
.-sende onu para için öldürmeyi göze alan bir piçsin.,o
.soluk soluğa izlediğim nadide filmlerden.,p
.son sahneleri de çok ii di.,p
.Sonu da ilahi adalet budur denilen türden.,o
.sözcükler bile yetmiyor filmin güzelliği karşısında,p 
.the postman için de hep olumsuz şeyler söylendi.,n
.travoltaya aldanarak dvdsini aldıım.o,
.tüm çarpıcılığıyla olağanüstü.,p
.uzun zaman oldu seyredeli,o
.Yıllarca unutlmayacak yapımlardan.,p
:) Gabriel Byrne ile Di Caprio'nun nesi başarılı?,p
1 5 milyon dolar değil tabiki 1.5 milyar dolar olcak aşağıdaki yorumda.:),o
1 milyar 850 milyon dolar hasılat başka söze gerek yok.,p
10 numara bir fılm mutlaka izlenmeli bu arada jennifer lopez oyunculuktan şarkıcılıga gecmiştir o zaten oyuncu yani iyidir de,p 
10 puanı sonuna kadar hakediyor bu filme 10puan altında verenler benim düsüncem filmi beğenmeyenler 9 verilmez 10puan kusursuz bir film,p
10:10 değil 100 Ü hakeden bir film bir başyapıt.,p
100 kere izlemem için önüme koysalar 100 de de bıkmadan izleyebileceğim nadir filmlerin en başında gelir!,p
10tam puanı sonuna denk hakediyor.,p
11 dalda 11 oscar daha ne gerek söz söylemeye,p
11 oscarı hak eden bir film,p
11-12 yıl falan oluyor izleyeli.,o
14 dalda akademiye aday olup 11 ini almıştır ama o 14 dalda aday olduğu katgoride n iyi senaryo dalında 2 sindede adaylığı yok yhani akademide bunun farkındaymış ama yinede her şyiyle iyi filmdir her zaman benm ilk 100 giriş yapacaktır.,p
14-15 yaşımda okumuş olmama rağmen hala aklımda kitabı gerçekten hoştu.,p
1997 nin filmi olması lazım ama mutlaka izleyin.,o
1997 yılında sinemada izlediğimde hissettiğimle aradan geçen 10 yıl sonunda belki 20 defa izlememin sonunda gene aynı şeyleri bana sıkılmadan hissettiriyorsa bu film bir başyapıttır.,p
'2 dediğimi hatılıyorum!,o
2. serinin fragmanlarını gördüm ilki kadar heyecanlı gözükmüyor konudan biraz sapılmış sanırım ama yinede merakla bekliyorum.,p
2.sinin cekılmesi yanlıs.,o
2001 uzay macerası tadında bir filim yapmaya çalışmış başlangıcı kötü ama filim ilerledikçe gerilimi artan bir temposu olmasına rağmen yinede istenilen sürükleyiciliği ve merakı veremiyor müzikler yetersiz eğer bu tarzda gerici bir filim izlemek istiyorsanız solarisi izlemenizi tavsiye ederim,p
"2007 ye geldik hala daha kendine yorum yazdirabiliyorsa hemde hala izleyenler varda etkisi altina girip hemen ikinci yorumunu yazmaya calisiyorsa iste bu film gerçekten ölümsüzdür demektir.,p
 bu filmin hayatimda cok önemli yerleri var.,p
 her zaman benim ""first lady""imsin titanic.,o

titanic hayatımda izlediğim en güzel film o kadar çok izledim ki sayısını bile bilmiyorum fakat yinede her izleyişimde ilk izlediğim zaman ki duyguları tekrar tekrar yaşıyorumherkese tavsiye ederim,p

Muhtesem bir film söyleyecek baska söz bulamiyorum,p

harika bir film    4 kez izledim """,p
23 kere izledim.,p
3 puanda :S çok acımazısca yhani n azından 200-250 arasında olsaymış.,p
4 4lük bir film.,p
4 silahşörler in beyazperdeye geçişini oldukça başarılı buldum.,p
"4-5 sene önce izlediğimde fazla etkilenmemiştim sadece kıyafetler çok hoşuma gitmişti.,p
.filmdeki romantizmi anlamamıştım.,o
şimdi tekrar izlediğmde gözlerim bazen dolmuyor desem yalan olur:),o
çok güzel senaryo müzik kostüm+makyaj oyuncular.,p
..zaten en sevdiğim dönemler o dönemler.,p
.çok eğlenceli sahneler de var çok hüzünlü sahneler de.,o
.hala izlemeyen kaldıysa mutlaka hemen izlemesi gerektiğini düşünüyorum..!",p
5puan verdim o da anistonun güzel yüzünün hatırına.,n
80 lerin saçları bomba bunu bi kez daha hatırladım .,o
80'lerin naif havasını ve tüm hit parçalarını barındıran film bu açıdanda izlemeye değer bir yapım.,p
9 puan bu film için çok az.,p
9.2 ne ya böyle kusursuz bir filme çok az kalmış ben 10 verdim 9 verenler nerden kırdılar çok merak ediyorumm bu film 10 almıycaksa hangi film alır?,p
97 yılının en iyi filmi.,p
abartılacak bir film değil ben ortada öyle büyük bir aşk da görmedim gerilim yok heyecan yok poseidon filmine aşk katın alın size 2 kat güzel bir film.,n
abartılıyor mu hah abartıldığının hakkını veren bi film çok güzel bi aşk filmi sahneleri ezberledim artık ama hala izleyebilirim.,p
abartısız harika seneryo yönetmenlıkde harıka sean başlı basına bi adam cok ıyı oynuyo ızlenir,p
abartmayın lütfen caprio var diye!,n
açıkçası izleyeli çok oldu.,o
Adaletisiz dünyanın yarattığı sosyal farklılıkların küçük bir kapanda doğal seleksiyonu.,o
adam çeliktenn!,o
adam sandler bu filmde sadece oyunculukta değil şarkı söylemede de ne kadar başarılı olduğunu gözler önüne sermiştir.,p
adam sandlerin 80lere damgasini vurmuş culture club şarkısını yorumlamasıda ayrı bi lezzet hele discoda new order blue monday şarkısını duymakta ayrı bir zevk,p
Adeta Amerikan misyonerliği yapan Holywood un aynı zamanda kendi toplumun  çöküşünü beyaz perdeye yansıtıyor.,o
ağladığım ender filmlerden.,o
ah!ne güzel bir filmdi Allah'ım,p
Ahlak anlayışının yerin dibine girmiş.,o
akademi ödülü ise abartılı.,o
Akıcı klsik bi tarzda kurgusu var ii idare eder.,p
aksiyon yonunden Brosnan'in oynadigi diger Bond filmlerine bir parca fark atiyor.,o
alkışı ve ödülü fazlasıyla hak ediyor.,p
ama aldığı puan cok az.,o
ama ben filmin ele aldığı çok önemli bir konunun es geçilmesine üzüldüm.,n
ama bu konuyu başka türlü nasıl anlatabilirsiniz ki?,o
Ama bu taktiğin uygulandığı yer sadece amerika değil.,o
Ama en iyisi değil bence.,o
ama genede izlenmesi gerek çünkü hoşbir konusu var ne olursa olsun.,p
Ama imkansız her zaman imkansız mıdır?,o
ama niyeyse val kilmer suanda hakettiği yerde değil maalesef.,n
ama o donemi guzel yansitmis amcalarimiz,p
ama özellikle lopez ve sean penn mükemmeldi.,p
Ama şimdi bakıyorumda özellikle bu sitede bu filme karşı bir ön yargı var.,o
ama şimdi pek rastlamıyorum.,o
Ama yinede yılına göre iyi film.,p
amaizlemeyenlere kesinlikle tavsiye ediyorum.,p
Anlatılacak bir şey deqil.,p
annemle sınemasına gıtmıstık daha 2 ye gıdıyordum.,o
arkadaşlar bence bu film 10 değil 110 u hakettmiyormu bi daha böyle film gelmez,p
arkadaşlar biz bir anket yaptık dünyanın en güzel kadını kim diye ve kim olabilir tabi ki kate winslet,p
arkadaşlar bu filme yorum yazmaya gerek yok ztn böle bir filmde yok olamazda bu derece aşk ı dram ı romantizmi bir araya getirmiş bir film daha olduğunu sanmıyorum böle filmler eskimez.,p
arkadaşlar bu tür filmler her zaman bulunmaz bence ne yapıp edin ve bu filmi izleyin.,p
arkadaşlar titanic 2 diye bi film çıkmicak o fragmanı dikkatli izlerseniz leonado di caprionun çevirdiği filmlerden alıntıla yapılark hazırlanmış bi fragman yani gerçek film değil hem olsa bile duyardık imdb felan.,o
arkadaşlar yapmayın bu bir devam filmi değil sonuçta bence kendi aykları üstünde durabilen bir film ve temposuda gayet iyi ve akıcı ben beğendim valla bikeredende fazla izledim hemmm iyi bir macera,
arkadaşlarrr mutlu bir haber vereceğimm sizeeee!,o
arşivimdede yeri war.,p
artık yorumumu anlamısınızdır:D,o
ask macera dram hepsi oyle guzel butunlesmis ki film ne kadar uzun olsa da iznsan bitince uzuluyo.,p
aslında bu filme cok fazla yorum gerekmiyo.,p
Aslında film bir tezatlığıda gösteriyor.,o
aslında konusu son derece ilginç ve düşüneülmesi gereken bir film ve son derece hoş bir film biraz uzun olması her ne kadar baysa da yine de izlenebilir.,p
Aslında nerden başlayacağımı bilmiyorum.,o
Aslında o kadar abartılacak bi film değil ama yinede beğendim.,p
aşık olmaya aşık oldurur bu film.,p
Aşırı Mükemmel.,p
Aşk Filmi denildiğinde akla ilk gelen film,p
aşk filmi mi felaket filmi mi belli değil ama finali iyi çekilmişti,p
aşka inanmak için daha iyi bir neden gösterin.,o
Atmosfer  oyunculuklar  efektler her şey mükemmel.,p
avatarın bu filmi gectıgıne ınanamıyorum ıkısınıde ızlemiş bırı olarak sonucun bu olmaması gerektıgını dusunuyorum.,o
Avatarın hasılat olarak bu filmi geçmesine inanamyorm.,o
Ayrıca bu kadar basit bir konu neden bu kadar abartılmış bilmiyorum belki müziğinden olabilir.,o
ayrıca david brin'in romanını da okuma imkanım oldu (haberci-metis yayınları) filme göre ilginç farklılıklar var.,p
ayrıca''tum zamanlrın en kötu fılmı''gıbı bı kategorıde yer almayı hak ettiini hıc dusunmuorum!,o
babam ve oğlum dahi bundan cok daha yuksek almıs.,o
bakın filmlerine çok aralıklı çekilmiş.,o
Bana biraz tarantino tarzını hatırlatsa da büyük keyif aldığım bir film oldu.,p
Bana göre 10 puanı fazlasıyla hakkediyor.,p
bana göre daha iyisi  var .((notebook)),o
bana sinemayı ve filim izlemeyi sevdiren bir filim.,p
Baş yapıt sayılacak filmler arasında,p
baş yapıt.,p
başından sonuna kadar 3 saatlik enfes bir macera,p
baştan sona gözümü kırpmadan seyrettiğim ve sonundada gözerimin dolduğu ender filmlerden birisi.,p
Baştan sona şaşırtmaca üzerine kurulu bu ilginç Oliver Stone filminde Bobby Cooper'ın kasabada gitgide ne kadar çaresiz bir duruma düştüğünü izliyoruz.,p
"Baştan sona tam bir felaket filmi tanımlaması.,n
 Bir film ancak bu kadar belli eder ne olduğunu.,n
 Açılıştan çekimlere  müzikten espirilere  karakterlerden karekterlerin aile yapılarına kadar her şey olması gerektiği gibi duruyor.,p
 Gösterime girdiği tarihte belki her şey bu kadar ezbere  oturmuş bir durumda değildi(belki de öyledi kimilerine göre)  ancak şu an itibariyle filmdeki olayların gidişatı için Matrix'ten kahine başvurmaya gerek yok sanırım.,o
 bütün bir senaryo bilinen bir denklem üzerine kurulu yani.,p
 bu durumda geriye pek olasılık kalmıyor.,o
 finali tahmin edin örneğin.,o
 tam tamam  kurtulduk derken yeniden bir olay patlak verir ve o işten kurtulduktan sonra da malum son kareler  herkes kısmen de olsa mutlu mesut bir şekilde hayatına devam eder.,p
 bu hikaye de burda biter.,o
 çocuk masalları gibi  hepsi de aynı taşlar üzerine kurulu.,o
 sonuç,o

biraz fazlaca fantastik görünsede zevkle izlenebilecek bir film yani amerikanın ortasında bir volkan bunu düşünen senaristi kutlamak lazım.,p

los angeles'in tam ortasında bir volkan.",o
batışı ile gişede fırtınalar koparan efsane drama.,p
bayağı değişmiş.,o
Bazı basit sahneler var ama izlenmesi gerek.,p
Beklediğim kadar iyi bir film değil.,n
ben 10 uzerinde 10 verdim  eminim zaten herkes izlemistir ama ilk defa sinemada izlemek ayri bir zevkti ",p
ben begendim.,p
Ben beğendim ve beş üzerinden dört veriyorum.,p
ben böyle bir filmin neden hala meşhur olmadığını çözemedim.,p
Ben bu filme 10 üzerinden 8 puan verdim.,o
ben bu fiLmi cok begendim.,p
ben bu filmi çok beğenmiştim aldığı puanın üstünde bir film.,p
Ben Bu Filmi Daha Yeni İzledim Keşke Daha Yeni İzlemeseymişim Bu Filmi Bu zamana Kadar Nası İzlememişim anlamıyorum tek kelimeyle harika bir film,p
ben bu filmi izlemeden önce demekki hiç film izlememişim.,o
ben bu uçakta ki terör filmleri seyretmekten bıktım yapımcılar milyon dolarlar verip bunun gibi filmler yapmaktan bıkmadılar.,n
ben çok sevdim her ne kadar leonardo filme pek yakışmasada gerçekten çok güzel film.,p
Ben izlerken bu kadar çok eğlendiğim bi film daha hatırlamıyorum.,p
Bence 10/10 numaralık bir film.,p
bence aldığı oscarları haketmiş.,p
bence bu film artık bir klasik oldu.,p
bence çok güzel ve sürükleyici bir filim yani neden beğenilmediğini anlamdım.,p
bence di caprio nun en güzel filmi,p
Bence en güzel film TİTANİK,p
bence gayett iyi ve etkileyeci bir filmmmdii.,p
Bence güzel bir filmdi.,p
bence güzel bir filmdi.,p
Bence güzel bir filmdi.,p
bence hoş vakit geçirmek için seyredilebilir.,p
Bence iyi bir yapıt olmuş.,p
bence izlemeyen kimse kalmasın.,p
bence izlenmeye değer bir başyapıt,p
Bence Matt Dameon'un ilk filmlerinden birisi olmasına rağmen bence çok etkileyici bir performans sergilemiş.,p
bence son 15 yılın en iyi filmlerinden biri.,p
bence şahane ötesi bir film eski olduğuna bakmayın kesinlikle izleyin bu arada bu güne kadar ondan daha iyi bir film geldiğini sanmıyorum filmin puna bence 1010,p
bence tam anlamıyla süper bir film senaryo gelişen sahneler çok iyi.,p
Bence tam bir tarz filmi olmuş.,o
bence tarihin en iyi filmi çok süper bir yapım ses efektleri muhteşem bugüne kadar çok film izledim ama böylesini görmemiştim süpper,p
Bence tek kelime ile muhteşem bir film.,p
bence tıtanıc hayatımda izlediğim en ama en güzel flim defalarca izledim ve defalarca izlerim tıtanıcı ve leonardo dı caprio yu ççççççççççççoooooooooooooooooooooooook seviyorum onun bir numaralı hayranıyım,p
bence titanic süperin daha da ötesinde bir film harika bir senaryoo!,p
bencede filme yorum yapmaya gerek yok,p
Bende dahil o kadar çok kişi biliyorum ki bu filmi defalarca seyreden.,o
bende her filmde ağlamam ama Titanic'te özellikle Jack'in öldüğü ve sulara gömüldüğü bölümde ağlamıştım.,o
beni sinemanın büyülü atmosferine çeken duygu yüklü romantik bir film.,p
Benim favorilerimde hep en başta yer almış bir filmdir.,p
benim için gişe hasılatlarının hiçbir anlamı yok.,n
benim için hayatımda izlediğim filmlerin en iyisi 10/10 p,
benim içinde gerçekten muhteşem bir film .,p
benim şimdiye kadar izlediğim en iyi aşk filmi diyebilirim,p
berbat bi film.,n
berbat bi yeniden çevrim mükemmel oyuncular var ama harcanmışlar hiç kendilerini senaryo yüzünden gösterememişler 2/10 7 7 yi kesinlikle haketmiyo,n
berbat denecek kadar kötü bi film değildi bence Wesley snipes in tam manasıyla oynayabileceği bir rol tam ona göre ama şu da bi gerçek kaçak tan bayı uzak bi performans sergiliyor film ,
berbatta olsa bu alanda en iyisi turbulence,o
bıkmadan.,p
bıktık artık böyle filmlerden.,n
bi de bond un yaralandığı hiç olmadı sanırım.,o
bilim kurguya felaketin eklendigi filmleri seviyordum zaten bu yapımda bunun üzerine kuruldugundan soluk almadan izledim.,p
bill bob thornton ve sean penn arasında geçen çok enteresan bi diyaloğ.,o
bir 23 kere daha izlerim.,p
bir adam gittiği kasabadan nasıl ayrılamaz:,o
bir başyapıt,p
Bir başyapıt.,p
bir daha aynı başarıyı ve populariteyi yakalayack bir filmin geliceğini sanmıyorum.,p
Bir daha böyle bir film gelir mi acaba?,p
Bir film  aşkı bu kadar güzel anlatabilir.,p
bir film bu kadar güzel olamaz yaa.,p
bir filmin üzerinden tam 13 sene geçmesine rağmen hala o filmle ilgili yorum yapılıyosa zaten söylenecek birşey yok lütfen mümkünse bu film hakkında yorum bile yapmayalım.,p
bir iki efekt görmek için izlemeye değmeyecek film tommy lee jones da çok iyi diildi,n
bir kaç gün yine etkisinden çıkamıcam gibi (:,p
bir kadının yüreği sırlarla dolu bir okyanustur=Rose Dawson.,o
bir nükleer savaş sonrasındaki dünyayı tasvir edişi insanların çaresizliğini resmetme biçimi kısacası konusu.,o
Bir olayın üstünün nasıl rahatlıkla örtülebileceğine ve medyanın gücüne dair bundan iyisini bulamazsınız.,p
bir pazar sabahı kalkarsınız kahvaltınızı edersiniz ve tvde zaplarken bunu görürsünüz oturun izleyin gençler pişman olmazsınız.,p
Bir perişan oluşun öyküsü.,o
biraz daha gayret,o
biraz fazlaca fantastik görünsede zevkle izlenebilecek bir film yani amerikanın ortasında bir volkan bunu düşünen senaristi kutlamak lazım.:)),p
Biraz geç de olsa izledim.,o
"birbirine çok yakışan iki oyuncunun birlikte ilk filmiizleyipte beğenmeyen kimse yoktur heralde yorumlar hep olumlu yöndefilmin müzikleride bi harika romantik film sevenler için kaçırılmaması gereken bi film ""somebody kill me please!,p
!!!"" ---->filmdeki şarkının sevdiim en güzel bölümü:p

tekrar tekrar izlenecek müthiş bir film ben en az 20 defa izlemişimdir pişman değilim izlettğim onca insandan sevmedim diyen çıkmadı daha çıkacağını da sanmıyorum,p

50 ilk öpücük filmine yaptığım tüm yorumları bu film içinde söylemek istiyorum.,o
..eski bi film olmasına rağmen defalarca kendini izlettirebilen bi film.,p
.. müzikler falan çok olmuş ciddende herkesin arşivinde yer alması gerken filmlerden.p
.şiddetle tavsiye ediyorum 8/10p

çook önceden izlediğim bu filme bayılmıştım.p
adam sandler bu rolde çok şirin.,p
drew barrymore ile iyi bir ikili olmuşlar,p

Bu ikili bir araya gelir de filmleri kötü olur mu?,p
?Mümkün diil müthiş bi film zaten birlikte son yaptıkları 50 ilk öpücük de inanılmaz güzel bi film bu ikiliye dikkat çok yakışıyolar birbirilerine!!:)),p

Sandler ve Berrymore' ı yanılmıyorsan ilk kez karşılaştıran yapım birde 50 İlk Öpücük var ikisini de görmediyseniz görün derim.,p
 Gerçi bu film biraz eski bulmanız zor olabilir.,o

film pek tabii romantik komedi severlere ve Drew barrymore hayranlarına hitap ediyor bu bu koşulların ikisinede uyduğum için filmi oldukça zevkle seyretmiştim halende zaman zaman seyrederim.",p
Birimiz Hepimizi Hepimiz Birimiz için sözü size bişey çağırışturıyosa izleyin iyi film en fazla 2 izlemelik ömrü var ama-----İYİ SEYİRLER---,p
birkaç aksiyon sahnesi gerçekten insanı heyecanlandırıyor.,p
bole bir basyapıt nasıl 8.9 puan alır anlamıyorum.,p
böyle bi film kolay kolay gelmez bu ne kadar gerçekcilik 1997 yılının en  iyi filmi tebrikler teşekkürler :),p
böyle müthiş bir film.,p
Böylesine sıradan bir filmin 8 1 alması ilginç,p
Bu arada bence bu film tüm zamanların en iyi filmi.,p
"Bu arada filmin adını Türkçeye ""Kaybedenler"" diye çevirmişler.,o
 Bu çeviri üzerine kadim dostum Arda'yı anmadan edemeyeceğim.:)))",o
bu bir filmden çok öte benim için bir efsane,p
"bu çok ilginç ve bir o kadar da ürkütücü bir film  Penn kadar Nick Nolte de şairane bir performans sergilemiş yan rollerde bir çok iyi isim var Joaquin Phonex  Claire Danes  Liv Tyler da minik bir sahnede var.,p
.. Ama asıl sürprizi Lopez yapıyor  ortalamanın üzerinde bir oyunculuk sergilemiş",p
Bu eser hakkında fazla söz etmeye gerek yok gibi geliyor bana.,o
Bu farklılık bazı durumlarda iyi olmuş ama bana çoğunlukla kötü geldi.,n
bu fılme bu kadar az yorym yazıldıgına ınanamadım.,o
bu fılmı ızlemıyen yasamasın :D,p
bu filimi hiç unutmayacaım .,p
bu film 100 kez de izlesem hiç canım sıkılmadan izlerim.,p
bu film beğenilmezmi yaw.,p
bu film bence hareketli filmlerden hoşlananlar için ideal bir film.,p
bu film böyle çok daha iyi çıkarmaya gerek yok 2.sini.,o
bu film daha fazla puanı hakediyordu bence.,p
Bu film de öyle.,o
Bu film değilki bu başka bir şey.,p
bu film gişede neden başarılı olmadı anlamıyorum acyip güzel film benim için ilk 5 te,p
bu film hakkında söyleyebileceğim fazla bir yorum yok.,o
"Bu Film İçin Denicek Birşey Yok Sanırım  Gerçekten Çok Güzel Bir Film Film 17 defa izledim ve filmi izlerken hala sıkılmıyorum.,p
.. film harika 2 si gelicek dediler bekliyoruz hala :),p
 ama 2 si bunun kadar güzel olucağını pek sanmıyorum Bu Filmi Çoğu kişi izlemişdir ama izlemiyenlere tavsiyem kesinlikle izlemeleridir.,p

izleyinnnnnnnnnnnnn,p

titanic 2 nin fragmanını izlediniz mi jacki buzdağından çıkarıyolar hala genç kalmış biçimde çok deişik bi olay olmuş:s,o

titanik filmi gerçek yaşanmış bir film izledim gerçekten çok etkilendim mutlaka izlenmeli,p 

bu filmi ilq 14 yasımnda izlemiştim o zaman izledigimde cok hoşuma gitmişti ama cocuqluq aklı unutuyordum filmleri ama su an 17 yasındayım izledigimde aqlayacak oluyorum gözlerim doluyor böle filmi herkes yapamas filmdeqi adıylada jack ve rosa da hayranım 2 side süper kişiliqli yeteneqli oyuncular tebriq ederim ellerine saqlıq bu filmi yayalım izlemeyen arqadaslarımıza ulaştırmaya calısalım cünqü bilinmesi qereken cok qüsel filmlerden birisi örneq alıcagım kişiliq war içinde tşqler.,p

bayıldım sinemada izleyemedim ama cd sini aldım,o

hayatımın aşk filmi.,p

en son 3 yıl önce yazmışım bu konudaki yorumu mu heralde her 3 yılda bir de yazıcam galiba dediim gibi insana bu kadar yıldan sonra bile yorum yapma istegi veriosa bi film bu başka bişey heralde sadece kendim için demiorum her gün yazılan mesajlar başkalarınında aynı fikirde oldugunu gösteriyor yıl 2009 forever titanic.,p

Tüm zamanların en iyi romantik/dram filmi görüşlerini katılıyorum.,p

Müziğiyle atmosferiyle gerilimiyle romantizmiyle.",o
"bu film kadar güzel bir aşk romantik film yapılmadı.,p

sinemada 2 kere izledim.",o
Bu film kesinlikle izlenmesi gereken bir film.,p
bu film süper tam arşivlik film belki 100 kere seyrettim,p
bu film tambir beyin fırtınası  tavsiye ederim,p
bu film tüm zamanların en çok hasılat yapan filmidir.,p
bu film ve şarkısı çok güzel gerçekçi yapmışlar süper,p
bu filmde ağlamamak mümkün değil ya müthiş bi film ama insan sonunda üzülüyor ki buda buruk ancak güzel bir tat bırakıyor insanda :D,p
Bu filme diyecek bir şey bulamıyorum.,p
Bu filme en romantik film diyenler romantik film izlememişlerdir.,o
bu filmi anlatmaya kelimeler yeter mi ?,p
Bu filmi aslında her yeni yaşta izlemek gerekir.,p
Bu filmi beğenmeyenlerin kesinlikle duygudan mahrum kalmış insanlardır.,p
bu filmi beğenmiştim =),p
Bu filmi ben daha çocukken izlemiştim.,o
bu filmi çok bğendiğimi hatırlıyorum.,p
bu filmi geçebilecek bir film bilmiyorum.,p
bu filmi izlemeniz mümkün değil.,o
bu filmi kaç kere izlediimi hatırlamıorum ve hala izliorumm çok ma çok güzel bir film,p
bu filmi kısacık yorumla anlatmak çok zor.,o
bu filmi sinemada izlemiştim ve film rüyalarıma girmişti kendimi rüyamda o gemide gördüm.,p
bu filmi telvizyonda belkide 50 defa verdiler ve ben en azından bunun 40 ını izlemşimdir bütün ailecek.,p
bu filmin 5 puan aldığına inanamıyorum.,p
bu filmin türkçe karşılığı u dönüşü olması gerekmiyor mu ?,o
bu filmle en çok üzenlendiğim tek film olarak tarihe geçen tek yapım 10 üzerinden 10 tek kelimeyle tarihe adını yazdırmış dram ve aşk dolu filmdir,p
Bu güne kadar seyrettiğim en iyi film diyebilirim,p 
bu kadar güzel bir kadro ve böylesine güzel bir senaryoya kimse kötü bir film ile karşılaşacağını zannetmez.,n
bu kadar ipucu yeter:DDD ılk fılmi izlediğimde 14 yasımdaydım ve hala etkısınde oldugumu soyleyebılırım.,o
Bu kadar zaman nasıl izlememişim diye de hayıflandım !,p
bu muhtesem filme bence 9.1   cok az.,p
Bu tam 3 5 hafta gibi bir zaman sürdü.,o
bu tarz filmlere bayılıyorum film çok zevkli,p
bu yoruma katılıyorum.,o
bu yüzden tatmin olamadim",n
bulamazsınız.,o
buna benzer soruları sormama neden oldu bu film.,o
bunu özellikle belirtmekte fayda var.,o
Bunu özellikle tarafsız olması gereken bir gazeteci yönünden anlatması daha da çarpıcı.,o
Bunu sevenler The Hunting Party yi ve Grbavica(the Land of My Dreams) i de seveceklerdir.,o
Bunun dışında temposuda hiç düşmüyor yorumların arasında kötü yorumlara rastlayınca şaşırdım doğrusu.,p
Buram buram Oliver Stone kokuyor.,o
canım sıkıldıkça izlediğim bi film 20 kere izlemişimdir.,p
